LG,SONY,AMAZON
50.380001068115234,54.0099983215332,49.650001525878906
48.7400016784668,51.59000015258789,46.470001220703125
43.63999938964844,43.81999969482422,45.470001220703125
43.7599983215332,35.75,32.27000045776367
51.59000015258789,48.84999847412109,43.5099983215332
50.72999954223633,50.77999877929688,44.5099983215332
38.09000015258789,46.0099983215332,43.41999816894531
42.90999984741211,47.93000030517578,48.18999862670898
38.630001068115234,41.93000030517578,41.70000076293945
47.369998931884766,44.400001525878906,41.38999938964844
46.290000915527344,48.63999938964844,44.47999954223633
46.27000045776367,47.40999984741211,45.54999923706055
35.66999816894531,32.18000030517578,28.84000015258789
40.470001220703125,41.83000183105469,39.58000183105469
38.22999954223633,38.38999938964844,40.619998931884766
37.81999969482422,44.41999816894531,44.16999816894531
44.58000183105469,46.720001220703125,47.13999938964844
48.709999084472656,52.0099983215332,52.5099983215332
51.11000061035156,49.13999938964844,46.06999969482422
46.939998626708984,49.130001068115234,37.59000015258789
45.27000045776367,49.189998626708984,44.11000061035156
