LG,SONY,AMAZON
47.400001525878906,50.59999847412109,48.93999862670898
44.61000061035156,46.09999847412109,43.27999877929688
42.15999984741211,45.130001068115234,46.15999984741211
40.5,37.59999847412109,33.150001525878906
46.630001068115234,45.70000076293945,40.27000045776367
47.540000915527344,48.52000045776367,42.619998931884766
34.790000915527344,36.84000015258789,35.79999923706055
40.52999877929688,46.43000030517578,43.70000076293945
35.849998474121094,37.66999816894531,37.18000030517578
51.209999084472656,47.66999816894531,45.2400016784668
46.18000030517578,49.34000015258789,42.31999969482422
43.790000915527344,47.20000076293945,44.68999862670898
32.599998474121094,29.93000030517578,29.81999969482422
36.72999954223633,33.33000183105469,36.45000076293945
35.810001373291016,34.209999084472656,33.88999938964844
36.7400016784668,41.08000183105469,42.18999862670898
40.77999877929688,42.220001220703125,42.09000015258789
42.34999847412109,46.93000030517578,49.119998931884766
42.349998474121094,40.279998779296875,37.849998474121094
43.81999969482422,35.349998474121094,35.189998626708984
40.88999938964844,41.310001373291016,38.86000061035156

