LG,SONY,AMAZON
46.38999938964844,49.7599983215332,47.59999847412109
43.400001525878906,44.959999084472656,42.16999816894531
40.68000030517578,44.040000915527344,44.52999877929688
40.34999847412109,37.5099983215332,32.220001220703125
45.18999862670898,44.11000061035156,38.13999938964844
46.150001525878906,48.02999877929688,41.08000183105469
32.31999969482422,36.709999084472656,35.08000183105469
38.43000030517578,44.91999816894531,41.83000183105469
33.63999938964844,36.02000045776367,36.790000915527344
50.630001068115234,47.52000045776367,45.209999084472656
45.25,49.20000076293945,40.02999877929688
42.65999984741211,46.369998931884766,43.61000061035156
28.8700008392334,23.96999931335449,23.25
32.4900016784668,29.65999984741211,30.799999237060547
32.04999923706055,31.299999237060547,30.6200008392334
33.06999969482422,39.040000915527344,40.09000015258789
38.70000076293945,40.2400016784668,39.7599983215332
39.97999954223633,45.72999954223633,48.68000030517578
42.95000076293945,40.06999969482422,36.02000045776367
45.439998626708984,32.900001525878906,32.95000076293945
40.33000183105469,41.130001068115234,38.189998626708984
