LG,SONY,AMAZON
48.310001373291016,49.40999984741211,48.290000915527344
48.52000045776367,48.38999938964844,47.34000015258789
44.40999984741211,44.619998931884766,45.02999877929688
45.2599983215332,45.77999877929688,44.09000015258789
48.27999877929688,48.47999954223633,45.630001068115234
49.060001373291016,50.11000061035156,46.70000076293945
40.09000015258789,44.43999862670898,43.20000076293945
41.0099983215332,45.15999984741211,45.41999816894531
43.61000061035156,42.0,45.09999847412109
49.75,48.09000015258789,44.95000076293945
46.0,47.29999923706055,44.459999084472656
44.959999084472656,45.220001220703125,44.22999954223633
34.63999938964844,34.81999969482422,32.65999984741211
37.810001373291016,38.18999862670898,37.709999084472656
37.5099983215332,37.7400016784668,38.36000061035156
41.65999984741211,46.58000183105469,48.209999084472656
44.709999084472656,46.2599983215332,46.90999984741211
44.5,47.150001525878906,47.09999847412109
48.779998779296875,47.279998779296875,44.33000183105469
47.290000915527344,46.5099983215332,43.060001373291016
44.70000076293945,48.47999954223633,44.15999984741211
